level,document_id,aggr_document_id,question_1,idx_q1,question_2,idx_q2,auth1,auth2,Turker,sum,label,agreement
middle,1.txt,middle1.txt,A discipline leader is supposed to  _  .,0,We can see from the story that some students  _  this new way of learning.,2,2,2,1,5,2,2
middle,118.txt,middle118.txt,This story is unusual because pigeons_.,1,Which happened first?,3,2,2,1,5,2,2
middle,1696.txt,middle1696.txt,What do you think of Ernie?,3,Why did Kyle look anxious and pained?,4,1,1,1,3,1,3
middle,1901.txt,middle1901.txt,There are   _   classrooms in Betty's school?,0,We have   _   in the dining hall.,3,1,2,1,4,1,2
middle,2302.txt,middle2302.txt,The pencil box is  _  .,0,The yellow ruler is  _  .,1,2,2,2,6,2,3
middle,2744.txt,middle2744.txt,"According to the passage, over of the students in Wang Hui's class have adopted pets online this year.",0,How many examples are mentioned in the passage?,3,2,2,2,6,2,3
middle,2790.txt,middle2790.txt,Vince's mother asked him to  _   three or four times a day.,0,Vince's hands were a little  _   than Toby's.,2,2,2,2,6,2,3
middle,2790.txt,middle2790.txt,"When Vince saw Toby's hands, he felt    _  .",1,Vince's hands were a little  _   than Toby's.,2,2,2,1,5,2,2
middle,2870.txt,middle2870.txt,What was the small town of Hershey like?,1,Which of the following statements is TRUE?,2,2,2,2,6,2,3
middle,3226.txt,middle3226.txt,Mr. Smith is very glad that   _  .,3,At last the thief   _  .,4,2,2,1,5,2,2
middle,3256.txt,middle3256.txt,Most people like walking because  _  .,1,"When you start walking, you should prepare   _  .",2,1,2,1,4,1,2
middle,3297.txt,middle3297.txt,What did his father think of Joe?,2,"From Joe's answered, ""Oh, every year."", we can infer  that  _  .",4,2,2,2,6,2,3
middle,3436.txt,middle3436.txt,We  _  to the park.,1,Miss Fang and Mr. Wu are  _  .,4,1,2,1,4,1,2
middle,3521.txt,middle3521.txt,Where is Wang Gang studying?,0,Wang Gang and his friends go to the movies   _  .,4,1,2,1,4,1,2
middle,3524.txt,middle3524.txt,Xiao Baiyou   _  .,0,"As for how to be a parent, Xiao Baiyu thinks   _  .",2,2,2,1,5,2,2
middle,3540.txt,middle3540.txt,The girl handed the letter back to the mailman because   _   .,1,We can know from Alice's words that   _   .,2,2,2,2,6,2,3
middle,4034.txt,middle4034.txt,When did the story happen?,0,What do you think of Tim?,2,2,2,2,6,2,3
middle,4164.txt,middle4164.txt,Many people in England have a   _   breakfast and a   _   lunch.,0,"When they get a take-away meal, they often eat it   _  .",4,1,2,2,5,2,2
middle,4282.txt,middle4282.txt,Members of EXO come from   _  .,0,"If you listen to TFBOY's songs, you can feel a lot of   _  .",1,1,2,2,5,2,2
middle,4349.txt,middle4349.txt,"Which o fthe following statements is TRUE, according to the passage?",1,The purpose of education is to   _   according to Zeng Guofan.,2,1,1,1,3,1,3
middle,4386.txt,middle4386.txt,Which of the following sentences is not right?,3,What is the best title of the passage?,4,1,1,2,4,1,2
middle,4570.txt,middle4570.txt,In which countries can people still get money during the holidays according to the     passage?,1,In which country can people work less than 40 hours a week?,3,1,2,2,5,2,2
middle,4890.txt,middle4890.txt,Mike is going to the zoo with  _  .,1,"Mike thinks  _  ,  so he is calling out .",3,2,2,2,6,2,3
middle,4890.txt,middle4890.txt,Mike is going to the zoo with  _  .,1,Who is wrong ?,4,2,2,2,6,2,3
middle,5436.txt,middle5436.txt,Many people would like to go to Kinsale because   _   .,0,The town of Kinsale is beautiful for its   _   .,2,2,2,1,5,2,2
middle,5490.txt,middle5490.txt,"If someone says to you ""Will you come for coffee?"", you   _  .",1,Which is the best title of the article?,2,2,1,2,5,2,2
middle,587.txt,middle587.txt,"""To face the music"" means ""to  _  "".",0,"After the exam, we'll have to ""face the music"". That's why  _  .",1,2,2,2,6,2,3
middle,6208.txt,middle6208.txt,Which school rules have changed in some Japanese schools?,1,Which is the same rule in Japanese schools and at Morton High School?,2,2,2,2,6,2,3
middle,6237.txt,middle6237.txt,I am a/an  _   girl.,0,I don't know   _   age.,3,2,2,2,6,2,3
middle,6794.txt,middle6794.txt,You can find the information below on the newspaper except   _  .,3,Adult editors may invite   _   to the meeting to make the paper more popular with kids.,4,2,1,1,4,1,2
middle,6794.txt,middle6794.txt,The newspaper should not be   _,2,Adult editors may invite   _   to the meeting to make the paper more popular with kids.,4,2,1,1,4,1,2
middle,70.txt,middle70.txt,Why did the boy's mother never cut her hair?,2,Which is the best title for the passage?,4,2,2,2,6,2,3
middle,71.txt,middle71.txt,Jeff's right leg was cut off  because of  the  _  .,0,"The sentence ""I ran for everybody ""means   _",2,2,2,2,6,2,3
middle,7101.txt,middle7101.txt,Many honors were offered to Draper including   _  .,1,The passage is mainly about   _  .,4,2,1,2,5,2,2
middle,7122.txt,middle7122.txt,"From the passage, we can infer that a slug .",1,Which of the following is NOT true according to this passage?,3,2,2,2,6,2,3
middle,7438.txt,middle7438.txt,Mrs. Yang wants  _  for her daughter.,0,Which is NOT true?,4,2,2,2,6,2,3
middle,7476.txt,middle7476.txt,New York City's Chinatown is   _  .,0,How many restaurants are there in New York's Chinatown?,2,1,1,1,3,1,3
middle,8094.txt,middle8094.txt,Some junk in space is from    _    .,0,American astronaut Edward White once lost    _    in space in 1965.,1,1,2,1,4,1,2
middle,912.txt,middle912.txt,The passage mainly talks about   _  .,0,The three students used all these things except   _   to made clothes.,2,2,1,1,4,1,2
middle,999.txt,middle999.txt,_   likes fruit for breakfast.,3,_   like chicken.,4,2,1,2,5,2,2
